Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density(P/Km2),Land Area(Km2)
99.5,87.4,118.77,480000.0,2.86,19.83,0.0,-0.3708784844108044,11.155914,18724.746,6.8,-0.34393794247922416,-0.6416502935751027,6.943646889918789,2473.081819,123,86600.0
99.854225,92.1,110.83,170000.0,3.27,15.57,0.0,-0.37166325553128565,12.821948,14348.922,4.21,-0.3465994096079276,-0.5995614367566027,1.0930142660628606,4950.294791,123,86600.0
99.943794,93.1,110.41,187390000.0,4.45,14.34,0.0,-0.3672685372565905,19.211267,13958.922,3.82,-0.3472341084936421,-0.3961067502393026,0.10704196035988016,5843.533768,123,86600.0
99.9,94.0,109.22,20000.0,3.55,16.57,0.0,-0.3702506675144193,13.787722,15663.72,4.2,-0.3456500281362117,-0.5823177681489069,-1.041778627745594,7189.691229,123,86600.0
100.0,95.5,117.84,20000.0,2.12,22.03,0.0,-0.37558711113369214,5.5317326,16145.47,4.3,-0.3430045611619274,-0.8027831967163831,-0.4265046023935348,7891.313147,123,86600.0
100.0,95.9,119.91,77640000.0,2.33,21.66,0.0,-0.37429223878489803,6.9587626,17438.53,4.26,-0.3432552410928165,-0.7757645330962429,-0.8110425787749416,5500.310382,123,86600.0
100.0,96.2,121.57,10000.0,1.94,21.57,0.0,-0.3728011736559836,8.485363,17089.488,4.35,-0.3430045611619274,-0.7267230628176965,-1.7846089084585597,3880.738731,123,86600.0
100.0,96.4,121.23,20000.0,1.91,21.17,0.0,-0.3736251833324889,7.7961674,16612.637,4.37,-0.3431539033964365,-0.7514100097062255,-1.0185651814733139,4147.089716,123,86600.0
32.0,8.3,1.8,3010000.0,59.06,13.93,0.0,-0.3769604605945345,6.3214526,1053.6212,3.14,-0.3486528462648011,-0.8700269461923974,0.16376405137850064,418.0689421,"1,265",148460.0
37.85107,8.4,1.74,32180000.0,54.33,16.55,0.0,-0.37652883647826974,5.9659085,1163.1385,3.23,-0.3455700243132961,-0.8921094643550257,-0.17519190765606493,413.0802826,"1,265",148460.0
40.66426,8.6,1.71,46690000.0,52.62,17.47,0.0,-0.3762541665861013,6.0247445,1208.1465,3.2,-0.34492999272192054,-0.8990963773303431,0.03522485768749813,446.3106757,"1,265",148460.0
40.6,8.9,1.69,17170000.0,52.05,22.05,0.0,-0.3759010195818847,5.2020636,1261.467,3.1,-0.34391660758170817,-0.9031572681907122,0.15128408296341422,475.2919302,"1,265",148460.0
44.23,9.2,1.67,39380000.0,50.66,24.15,0.0,-0.37562634968971625,5.033425,1345.851,3.05,-0.3427538832684741,-0.9110235293611298,0.4522259932469755,499.4619402,"1,265",148460.0
50.5251,9.8,1.67,20000.0,48.69,27.86,0.0,-0.3751947255734515,4.7521367,1438.764,3.05,-0.3410524630174751,-0.9184467231664437,0.48378700408414604,509.6401899,"1,265",148460.0
46.5,10.3,1.66,50500000.0,47.19,28.45,0.0,-0.37766675460296756,2.6018488,1458.1193,2.98,-0.33993774018088263,-0.9205787373483995,0.5735520952948352,558.0518407,"1,265",148460.0
54.735516,11.0,1.68,10000.0,45.2,31.36,0.0,-0.37688198348248636,2.970297,1528.589,2.94,-0.33802297708836543,-0.9038145449495574,0.3310157806154786,634.9870697,"1,265",148460.0
57.568848,11.8,1.72,26970000.0,43.1,34.6,0.0,-0.3788046727276655,1.3401768,1660.9723,2.94,-0.33633222632356025,-0.9630135323747584,0.1061552594068021,702.2644196,"1,265",148460.0
55.26,12.7,1.8,180000.0,40.28,37.65,0.0,-0.3773528461547751,2.182385,1685.9304,2.93,-0.33322273555281706,-0.933571883964264,0.22841198340875934,781.1535777,"1,265",148460.0
59.6,13.7,1.79,236740000.0,38.41,40.67,0.0,-0.37676426781441413,2.3763802,1806.3944,2.85,-0.33117463444974793,-0.9263621275217937,0.43561310053622754,861.7621622,"1,265",148460.0
66.15557,14.7,1.92,149130000.0,37.31,44.91,0.0,-0.3769996991505585,2.0287957,1938.1482,2.77,-0.3292705367685529,-0.9368438051019176,0.44886325627845886,883.1171296,"1,265",148460.0
61.5,15.8,2.16,112940000.0,37.08,48.94,0.0,-0.37633264369814945,2.1982415,1991.1696,2.73,-0.32787846843533003,-0.9399408303933033,0.33097304442875697,981.8608514,"1,265",148460.0
62.4,17.1,2.3,90490000.0,35.32,51.78,0.0,-0.3774705618228473,1.5402168,2040.6984,2.66,-0.3261557132921486,-0.9518080875000003,0.3419886838146003,1118.873808,"1,265",148460.0
74.90374,18.3,2.45,7700000.0,31.93,54.76,0.0,-0.37739208471079916,1.4930743,2440.7686,2.69,-0.3216968219404451,-0.9374474332168968,0.45610146370979593,1248.45331,"1,265",148460.0
75.92,19.3,2.52,418430000.0,30.49,63.57,0.0,-0.3756655882457403,1.9586676,2415.728,2.61,-0.32052876593493423,-0.9384738382909723,0.5862913690472371,1401.564635,"1,265",148460.0
88.0,20.6,2.65,246620000.0,28.36,67.59,0.0,-0.37546939546562,1.9155419,2494.115,2.5,-0.31788329997403425,-0.9310914554062346,0.6259158420444056,1563.767819,"1,265",148460.0
91.8,21.9,2.72,235500000.0,26.88,72.56,0.0,-0.37515548701742746,1.8929151,2630.0278,2.3,-0.3156911893474508,-0.9433911582002387,0.7604561382599352,1698.132081,"1,265",148460.0
92.2,23.4,2.93,137390000.0,24.75,78.37,0.0,-0.37617568947405317,1.4337819,2916.3176,2.36,-0.3118029932182988,-0.9493930564620935,0.8275268806589438,1855.740094,"1,265",148460.0
94.391716,89.0,364.68,126500000.0,42.66,28.87,4.94,0.8309200094942513,91.57278,13400.32,3.88,-0.19290100924137485,2.6033917796521284,-0.046397787380117184,3749.910848,25,8515770.0
96.016525,89.7,367.36,5290000.0,41.33,35.19,14.27,0.6933496320738802,89.111,12893.828,3.9,-0.18985552266715472,2.255159739601558,-0.7423492190349799,3160.249345,25,8515770.0
96.65299,90.1,374.1,33350000.0,42.85,33.5,13.84,0.7688446138641809,90.15546,13021.791,3.89,-0.19071956091662376,2.392310528382504,-0.3561783463986105,2839.491501,25,8515770.0
96.980095,90.6,387.32,7530000.0,45.11,31.62,13.4,0.8509709116225485,91.18975,13111.923,3.91,-0.1944264206094024,2.519660026411783,-0.8001663472764173,3070.436419,25,8515770.0
96.76511,91.1,392.57,1140000.0,45.18,40.14,11.6,0.9119868662399692,89.46926,13593.7,3.9,-0.18498061657468193,2.519829272926123,0.2720942222944591,3637.31389,25,8515770.0
97.09351,91.6,399.88,11720000.0,46.13,39.56,9.2,0.9807720549501546,90.00303,13792.465,3.88,-0.18328985768680137,2.5914917487499696,-0.3216668682380467,4790.456566,25,8515770.0
97.594315,92.1,412.49,1220000.0,46.67,39.4,12.98,1.0301733969844522,90.43527,14020.683,3.86,-0.1811937561098078,2.583176409045146,-0.14527795374035202,5886.391522,25,8515770.0
98.12538,92.6,427.18,910000.0,47.19,37.64,11.65,1.1413362262006277,91.390076,14770.351,3.84,-0.17215863348616411,2.694417474051886,0.3440340781349978,7348.187963,25,8515770.0
98.52663,93.1,432.21,19530000.0,47.04,55.87,13.21,1.132429073983165,87.71251,15255.087,3.86,-0.16092073079774552,2.60992344451567,0.11754624930854847,8831.183643,25,8515770.0
98.85694,93.6,438.04,174490000.0,48.92,36.32,12.22,1.2286420133541718,92.08145,15004.24,3.74,-0.17352403424287793,2.8552103334328756,-1.0941973757383587,8597.794335,25,8515770.0
98.6,94.0,457.6,135380000.0,46.81,61.02,13.77,1.3301129192324035,88.053566,16220.931,3.85,-0.147960085158759,2.683271382178881,0.6825685814994811,11286.07154,25,8515770.0
99.32869,94.3,470.43,187660000.0,45.26,50.27,14.8,1.4334280372437658,90.468155,16629.84,3.75,-0.13709020226813018,2.6552184806225854,-0.14239150794110544,13245.38737,25,8515770.0
99.51949,94.7,482.3,228480000.0,43.49,77.21,15.17,1.403842166001621,85.88896,16963.494,3.82,-0.11793189779255972,2.501505127901064,-0.6190209189439496,12370.22325,25,8515770.0
99.57515,95.0,496.6,93260000.0,42.32,112.0,14.65,1.3334481964944487,80.12387,17221.44,3.88,-0.10053903046915062,2.3156030057232977,-0.3674691779401294,12300.38671,25,8515770.0
99.650246,95.2,524.97,489030000.0,41.71,136.58,14.46,1.3098265857679618,76.527,17519.043,3.98,-0.08732236608130631,2.2335766403897686,-0.9480065790769021,12112.83496,25,8515770.0
