Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density(P/Km2),Land Area(Km2),Latitude,Longitude
Argentina,2019,0.6044155017046627,0.8062656683985772,1.720864426346579,-0.3250065920356563,-0.16907763397323988,0.029726933642822112,-0.1420848285230431,0.41011311465190553,-0.3731635370777315,-0.5751684292645608,-0.19540089797504967,0.3030360107249332,-1.3273297124092578,-0.07237602061982391,17,0.5744420519058766,-2.627370379938002,-1.3448812643866537
Azerbaijan,2000,0.5141902495617776,-0.2880403021552658,0.214005737291533,-0.8027804571365578,-0.28173497790082236,-0.2495195125764146,-0.29823070893697706,-0.504943652960194,-0.4535164937752127,1.4831545673517883,-0.28593475566464205,-0.44787789629229585,1.2074663892240034,-0.6573358283723129,123,-0.5554335126741803,1.1933219536870003,0.31841539793495266
Azerbaijan,2001,0.4905197297744604,-0.16603997435703347,0.21675564129816777,-0.8204145559638114,-0.2810084492821841,-0.2495195125764146,-0.2993153828268957,-0.5599414833210793,-0.46681155606077895,1.2738021833575062,-0.28676652456533136,-0.4863262369885022,0.9757302106034966,-0.6543141962730609,123,-0.5554335126741803,1.1933219536870003,0.31841539793495266
Azerbaijan,2002,0.6044155017046627,-0.04773662618905037,0.2080623963739673,-0.787350620662711,-0.2812203534626203,-0.2495195125764146,-0.2959670416884513,-0.4181932070762217,-0.473074414809411,1.0848292349732869,-0.28690837642603156,-0.3367868905552446,0.8866886679775302,-0.6506185444039109,123,-0.5554335126741803,1.1933219536870003,0.31841539793495266
Azerbaijan,2003,0.5157805922080009,0.08165766086968103,0.23618238250633028,-0.7548377509499622,-0.27937375989024826,-0.2495195125764146,-0.29389201337730264,-0.36759271703753127,-0.45435313287853546,0.9792267049938702,-0.2853673476221938,-0.28567651926369514,1.0352671052440003,-0.6431115278978643,123,-0.5554335126741803,1.1933219536870003,0.31841539793495266
Azerbaijan,2004,0.5279560849365427,0.1777791312561675,0.22553759280322758,-0.7476738983013904,-0.2792678078000302,-0.2495195125764146,-0.29252438108131834,-0.3205336374265425,-0.4209782082861731,0.8977089625536189,-0.2855349911083709,-0.2962415799820663,0.8509404438654506,-0.6330770173625887,123,-0.5554335126741803,1.1933219536870003,0.31841539793495266
Azerbaijan,2005,0.5400874473921129,0.2628096627519052,0.2148040965192656,-0.7316929962391919,-0.2802365126248811,-0.2495195125764146,-0.2913453877227112,-0.2617352380209,-0.39850838506385367,0.5234684177142824,-0.2844195171515822,-0.2956729906242162,4.463658526953281,-0.5998894541048619,123,-0.5554335126741803,1.1933219536870003,0.31841539793495266
Azerbaijan,2006,0.5630950213933139,0.3441432146173936,0.2606653988234664,-0.7592462756567756,-0.2761346531321531,-0.2495195125764146,-0.29365621470558123,-0.40537351502665747,-0.40809270891008276,0.06400477850559251,-0.2841293659509807,-0.36639281495078196,5.726324341281054,-0.5442227514428649,123,-0.5554335126741803,1.1933219536870003,0.31841539793495266
Azerbaijan,2007,0.565032951919916,0.41808280722238295,0.24939966305434944,-0.7085482415284216,-0.2784353270911739,-0.2495195125764146,-0.2943636107207455,-0.39849272947764064,-0.4379365677412503,-0.24539210757445273,-0.28597344313187245,-0.35429157305263936,3.891745297381376,-0.45846182533833185,123,-0.5554335126741803,1.1933219536870003,0.31841539793495266
Azerbaijan,2008,0.5782902148230092,0.46614354241562594,0.23786780754265485,-0.7471228327130387,-0.278541279181392,-0.2495195125764146,-0.29497668726722126,-0.4190356731688168,-0.4393762714663107,-0.24168675564535033,-0.2841551565963887,-0.38246720514548477,1.14161053618331,-0.35124692520722156,123,-0.5554335126741803,1.1933219536870003,0.31841539793495266
Azerbaijan,2009,0.592368515669889,0.5179012572391182,0.19023237362127024,-0.736652586534357,-0.28258259462256685,-0.2495195125764146,-0.294599409392467,-0.34016667859875693,-0.4844985414814735,-0.4158382963131603,-0.2873468284495332,-0.32169370128055413,0.8591597725969852,-0.3900912564369971,123,-0.5554335126741803,1.1933219536870003,0.31841539793495266
Azerbaijan,2010,0.5997705838719032,0.5548710535416129,0.1865066972251843,-0.6716268471088594,-0.28444432420782717,-0.2495195125764146,-0.28931751914590687,-0.09009538418419132,-0.4913082931311839,-0.48809265893065595,-0.28811411948260124,-0.10562120972787278,0.03892548674320694,-0.3345141782936642,123,-0.5554335126741803,1.1933219536870003,0.31841539793495266
Azerbaijan,2011,0.5961514056423934,0.5881438702138583,0.1759506141029408,-0.72122275006051,-0.28106899333373736,-0.2495195125764146,-0.2929016589560726,-0.3023672896041031,-0.4615409828929198,-0.41769097227771146,-0.28619911587810104,-0.30338061887703455,-0.9167829334714631,-0.2507566393487111,123,-0.5554335126741803,1.1933219536870003,0.31841539793495266
Azerbaijan,2012,0.6044155017046627,0.6140227276256047,0.1875711761954946,-0.7603484068334789,-0.27602870104193494,-0.2495195125764146,-0.29691023637533703,-0.5173494505182742,-0.4567766711079624,-0.36766872123482996,-0.2843743826049156,-0.45749975000081,-0.5179571462174298,-0.2316798607759641,123,-0.5554335126741803,1.1933219536870003,0.31841539793495266
Azerbaijan,2013,0.6044155017046627,0.632507625776852,0.2700682963945405,-0.7779825056607325,-0.2750297241913075,-0.2495195125764146,-0.2984665076086985,-0.5808411003456733,-0.45417894292351624,-0.4028695645613021,-0.28383921351884533,-0.506787600084503,0.18585718847965021,-0.208069822790089,123,-0.5554335126741803,1.1933219536870003,0.31841539793495266
Azerbaijan,2014,0.6044155017046627,0.6435985646676003,0.2524156868035619,-0.8000251291947994,-0.2728047302967281,-0.2495195125764146,-0.2993153828268957,-0.6254981202811962,-0.4531291935153608,-0.3991642126321998,-0.2830009960557211,-0.5375188206910962,-0.4049340226349605,-0.20710192077079453,123,-0.5554335126741803,1.1933219536870003,0.31841539793495266
Azerbaijan,2015,0.6044155017046627,0.6583864831885984,0.270777949041414,-0.7884527518394143,-0.273364762773595,-0.2495195125764146,-0.2977591115935342,-0.5696456516114651,-0.430551200007221,-0.4065749164904045,-0.2833040444263273,-0.5088245199268272,-0.7248326958699837,-0.3558694409227169,123,-0.5554335126741803,1.1933219536870003,0.31841539793495266
Azerbaijan,2016,0.6044155017046627,0.6694774220793467,0.2855032414640393,-0.8099443097851295,-0.2735009868895897,-0.2495195125764146,-0.2959670416884513,-0.5098961011379649,-0.43664578804649845,-0.389900832809444,-0.2830009960557211,-0.45674160724547563,-1.5347464008903018,-0.45663873393841303,123,-0.5554335126741803,1.1933219536870003,0.31841539793495266
Azerbaijan,2017,0.6044155017046627,0.6768713813398457,0.28248721771482704,-0.8115975065501846,-0.2741064274051214,-0.2495195125764146,-0.2969573961096813,-0.5368704994731902,-0.44497203646679606,-0.38619548088034156,-0.28318153671835067,-0.4829595834166936,-0.8974715751146243,-0.4400664504979662,123,-0.5554335126741803,1.1933219536870003,0.31841539793495266
Azerbaijan,2018,0.6044155017046627,0.6842653406003443,0.345380183543992,-0.8104953753734813,-0.27292581839983443,-0.2495195125764146,-0.296580118234927,-0.5347421776770094,-0.44000261146996905,-0.3954588607030974,-0.2826850542097116,-0.4811574979917872,-0.6464239164757211,-0.40318558799821624,123,-0.5554335126741803,1.1933219536870003,0.31841539793495266
Azerbaijan,2019,0.6044155017046627,0.687962320230594,0.3470656085803166,-0.8275784086123831,-0.2714727611625581,-0.2495195125764146,-0.2974289934531242,-0.5731228976297731,-0.4286610399409831,-0.34173125773111346,-0.2808925607762556,-0.5161828184808905,-0.4533103329073339,-0.39908456138213294,123,-0.5554335126741803,1.1933219536870003,0.31841539793495266
Bangladesh,2000,-5.0151698206387705,-2.580167672909936,-0.7769354774864691,2.337742330879633,-0.2850649007362473,-0.2495195125764146,-0.3009659735289457,-0.5945893015753104,-0.7166464813691557,-0.6140746245201354,-0.28982923950972994,-0.608932877252488,0.08611282004829343,-0.6720850751724154,"1,265",-0.5294872277143012,0.39288894364128574,0.9583338872115484
Bangladesh,2001,-4.76454904197019,-2.580167672909936,-0.7772015972290467,2.1591970802536906,-0.2828247708287796,-0.2495195125764146,-0.3007773345915686,-0.6079825320162466,-0.714411438811483,-0.5899898369809702,-0.28716628946333705,-0.5869803040952614,0.044398945403024706,-0.6722738832616078,"1,265",-0.5294872277143012,0.39288894364128574,0.9583338872115484
